"","nct_id","trial_title","Conditions","condition","Interventions","intervention_type","Sponsor_Collaborators","Gender","Age_Groups","Enrollment","Start_Date","Completion_Date","title","z","direction","m2"
"11","NCT00112918","Combination Chemotherapy With or Without Bevacizumab in Treating Patients Who Have Undergone Surgery for High Risk Stage II or Stage III Colon Cancer","Colorectal Cancer","cancer","Biological: Bevacizumab|Drug: Capecitabine|Drug: 5-Fluorouracil (5-FU)|Drug: Leucovorin calcium|Drug: Oxaliplatin","biolog","Hoffmann-La Roche|National Cancer Institute (NCI)","Both","Adult|Senior",3451,"December 2004","July 2008","Disease-free Survival in Stage III Cancer Patients - Time to Event",-1.811910673,"-1",24103
"12","NCT00745290","A Phase 3 Study to Evaluate the Safety and Efficacy of SKY0402 in Subjects Undergoing Total Knee Arthroplasty","Postoperative Pain","other","Drug: Bupivacaine HCl|Drug: SKY0402","drug","Pacira Pharmaceuticals, Inc","Both","Adult|Senior",245,"August 2008","April 2008","Area Under the Curve (AUC) of the Numeric Rating Scale (NRS) With Activity (NRS-A) Pain Intensity Scores",-1.5971,"-1",24100
"13","NCT00435409","A Study Of Sunitinib In Combination With Capecitabine Compared With Capecitabine In Patients With Breast Cancer","Breast Neoplasms","cancer","Drug: Sunitinib + Capecitabine|Drug: Capecitabine","drug","Pfizer","Both","Adult|Senior",442,"February 2007","October 2009","Progression Free Survival (PFS)",-1.562373611,"-1",24118
"14","NCT01152190","A Study in Benign Prostatic Hyperplasia","Benign Prostatic Hyperplasia","other","Drug: Tadalafil|Drug: Placebo","drug","Eli Lilly and Company","Male","Adult|Senior",97,"September 2010","July 2008","Change From Baseline to 8-Week Endpoint in Arterial Resistive Index (RI) in the Prostate Transition Zone",-1.550589875,"-1",24103
"15","NCT00410410","A Study of Abatacept in Patients With Active Ulcerative Colitis","Ulcerative Colitis","other","Drug: abatacept (ABA)|Drug: placebo|Drug: abatacept","drug","Bristol-Myers Squibb","Both","Adult|Senior",591,"December 2006","December 2009","Induction Period (IP); Number of Participants With Clinical Response (Per Mayo Score) at Week 12: IP Cohort 1 (IP1C)",-1.538198859,"-1",24120
"16","NCT00594568","Effect of LY450139 on the Long Term Progression of Alzheimer's Disease","Alzheimer's Disease","mental health","Drug: LY450139|Drug: Placebo","drug","Eli Lilly and Company","Both","Adult|Senior",1537,"March 2008","November 2008","Change From Baseline in Alzheimer's Disease Assessment Scale-Cognitive Subscale (ADAS-Cog11) Score at 76 Weeks",-1.498513068,"-1",24107
"17","NCT00497146","The PRIMO Study: Paricalcitol Capsules Benefits Renal Failure Induced Cardiac Morbidity in Subjects With Chronic Kidney Disease Stage 3/4","Chronic Kidney Disease|Left Ventricular Hypertrophy","other","Drug: paricalcitol|Drug: placebo","drug","AbbVie (prior sponsor, Abbott)|Massachusetts General Hospital|AbbVie","Both","Adult|Senior",227,"February 2008","December 2009","Change From Baseline in Left Ventricular Mass Index (LVMI) Over 48 Weeks Measured by Cardiac Magnetic Resonance Imaging (MRI)",-1.457421739,"-1",24120
"18","NCT00762762","Investigate Plaque and Gingival Index","Periodontitis","other","Drug: Triclosan and fluoride|Drug: Fluoride","drug","Colgate Palmolive","Both","Adult",46,"March 2006","April 2008","HbA1c Levels in Blood",-1.3615,"-1",24100
"19","NCT00744848","Study to Evaluate Postoperative Analgesia in Subjects Undergoing Hemorrhoidectomy","Hemorrhoids","other","Drug: Bupivacaine HCl|Drug: SKY0402","drug","Pacira Pharmaceuticals, Inc","Both","Adult|Senior",204,"August 2008","September 2012","Area Under the Curve (AUC) of the Numeric Rating Scale at Rest (NRS-R) Pain Intensity Scores",-1.2963,"-1",24153
"20","NCT00251004","Efficacy and Safety Study of Everolimus Plus Reduced Cyclosporine Versus Mycophenolic Acid Plus Cyclosporine in Kidney Transplant Recipients","Kidney Transplantation|Graft Rejection","other","Drug: Everolimus|Drug: Mycophenolic Acid (MPA)|Drug: Cyclosporine A (CsA)|Drug: Basiliximab|Drug: Corticosteroids","drug","Novartis","Both","Adult|Senior",833,"October 2005","April 2008","Number of Participants With Composite Efficacy Endpoints - 12 Month Analysis",-1.296,"-1",24100
"21","NCT00490815","Pharmacokinetic and Efficacy Study of Fluocinolone Acetonide Inserts in Patients With Diabetic Macular Edema","Diabetic Macular Edema","other","Drug: Fluocinolone Acetonide|Drug: Fluocinolone Acetonide","drug","Alimera Sciences","Both","Adult|Senior",37,"August 2007","February 2008","Levels of Fluocinolone Acetonide in Plasma and Aqueous Humor",-1.287,"-1",24098
"22","NCT00191646","An Ovarian, Primary Peritoneal or Fallopian Tube Cancer Study for Patients That Have Not Received Prior Chemotherapy","Genital Neoplasms, Female|Fallopian Tube Neoplasms|Ovarian Neoplasms|Pelvic Neoplasms|P","cancer","Drug: Gemcitabine|Drug: Paclitaxel|Drug: Carboplatin","drug","Eli Lilly and Company","Female","Adult|Senior",919,"October 2002","December 2010","Progression Free Survival (PFS)",-1.284405813,"-1",24132
"23","NCT00574275","Aflibercept Compared to Placebo in Term of Efficacy in Patients Treated With Gemcitabine for Metastatic Pancreatic Cancer","Pancreatic Neoplasm","cancer","Drug: Aflibercept (ziv-aflibercept, AVE0005, VEGF trap, ZALTRAP®)|Drug: Placebo|Drug: Gemcitabine","drug","Sanofi|Regeneron Pharmaceuticals","Both","Adult|Senior",546,"December 2007","November 2008","Overall Survival (OS)",-1.271924348,"-1",24107
"24","NCT00402363","Evaluation of Efficacy and Safety of Lovaza (Omega-3-Acid Ethyl Esters) in Recurrent, Symptomatic Atrial Fibrillation","Fibrillation, Atrial|Atrial Fibrillation","cardiovascular","Drug: omega-3-acid ethyl esters|Drug: Placebo","drug","GlaxoSmithKline","Both","Adult|Senior",663,"November 2006","February 2008","Number of Participants With Paroxysmal AF With an Event of Documented Symptomatic Atrial Fibrillation (AF)/Flutter",-1.119328551,"-1",24098
"25","NCT00348374","Exubera vs Lispro in a Lantus-based Regimen for Improved Glycemic Control in Type 2 Diabetes","Diabetes Mellitus","endocrine and metabolic","Drug: Insulin Lispro|Drug: Exubera","drug","Pfizer","Both","Adult|Senior",191,"June 2006","April 2008","Change From Baseline in Glycosylated Hemoglobin A1c (HbA1c) at End of Treatment",-1.118,"-1",24100
"26","NCT00046930","Daunorubicin & Cytarabine +/- Zosuquidar inTreating Older Patients With Newly Diagnosed Acute Myeloid Leukemia or Refractory Anemia","Leukemia|Myelodysplastic Syndromes","cancer","Biological: filgrastim|Biological: sargramostim|Drug: cytarabine|Drug: daunorubicin hydrochloride|Drug: zosuquidar trihydrochloride|Drug: Placebo","biolog","Eastern Cooperative Oncology Group|National Cancer Institute (NCI)|Eli Lilly and Company|Kanisa Pharmaceuticals","Both","Adult|Senior",449,"July 2002","May 2008","Overall Survival (OS)",-1.080319341,"-1",24101
"27","NCT00135330","An Evaluation of Exenatide and Rosiglitazone in Subjects With Type 2 Diabetes Mellitus","Diabetes Mellitus, Type 2","endocrine and metabolic","Drug: exenatide|Drug: rosiglitazone","drug","AstraZeneca|Eli Lilly and Company","Both","Adult|Senior",137,"October 2005","November 2009","Change in ASIiAUC During a Hyperglycemic Clamp Test.",-1.075837361,"-1",24119
"28","NCT00972621","Clinical Evaluation of a New Viscoelastic for Cataract Surgery","Cataract","other","Device: Vitrax II|Device: Viscoat","device","Abbott Medical Optics","Both","Adult|Senior",400,"September 2009","May 2011","Percent of Intraocular Pressure Spikes 30 mm Hg or Greater Postoperatively",-1.0642,"-1",24137
"29","NCT01077973","Study Evaluating A Novel Ibuprofen Formulation In Episodic Tension-Type Headache","Pain","other","Drug: Novel Ibuprofen|Drug: Standard Ibuprofen|Drug: Placebo","drug","Pfizer","Both","Adult",200,"March 2010","April 2008","Time-weighted Sum of Pain Relief Rating and Pain Intensity Difference From 0-3 Hours (SPRID 0-3) for Ibuprofen Sodium Versus Placebo Tablet",-1.038580239,"-1",24100
"30","NCT00604214","Efficacy and Safety of Drotrecogin Alfa (Activated) in Adult Patients With Septic Shock","Sepsis","other","Drug: Drotrecogin alfa (activated)|Drug: Placebo","drug","Eli Lilly and Company","Both","Adult|Senior",1696,"March 2008","January 2009","28-Day All-Cause Mortality",-1.00894711,"-1",24109
"31","NCT00439140","Safety and Efficacy Study of Botulinum Toxin Type A for the Treatment of Neurogenic Overactive Bladder","Overactive Bladder","other","Biological: botulinum toxin Type A|Drug: Normal Saline (Placebo)","biolog","Allergan","Both","Adult|Senior",41,"June 2007","March 2009","Change From Baseline in Forced Vital Capacity (FVC)",-0.998,"-1",24111
"32","NCT00501631","ALK21-014: Efficacy and Safety of Medisorb® Naltrexone (VIVITROL®) After Enforced Abstinence","Alcohol Dependence","mental health","Drug: VIVITROL 380 mg|Drug: Placebo for VIVITROL 380 mg","drug","Alkermes, Inc.","Both","Adult",300,"July 2007","August 2008","Cumulative Percentage of Participants by Heavy Drinking Rate",-0.962098754,"-1",24104
"33","NCT00673049","Trial Of CP-751, 871 And Erlotinib In Refractory Lung Cancer","Carcinoma, Large Cell|Carcinoma, Non-Small-Cell Lung|Carcinoma, Squamous Cell|Carcinoma","cancer","Drug: CP 751,871 (Figitumumab)|Drug: Erlotinib|Drug: Erlotinib","drug","Pfizer","Both","Adult|Senior",583,"May 2008","April 2009","Overall Survival",-0.9346,"-1",24112
"34","NCT00172185","Safety and Efficacy Study of Teduglutide in Subjects With Short Bowel Syndrome Who Completed Protocol CL0600-004 (NCT00081458)","Short Bowel Syndrome","other","Drug: teduglutide 0.05 mg/kg/d|Drug: teduglutide 0.10 mg/kg/d","drug","NPS Pharma","Both","Adult|Senior",65,"January 2005","April 2008","Number of Subjects Achieving a 20% Reduction at Week 28",-0.903,"-1",24100
"35","NCT00457691","Study Of FOLFIRI Chemotherapy With Or Without Sunitinib In Patients With Metastatic Colorectal Cancer","Metastatic Colorectal Cancer","cancer","Drug: 5 fluorouracil|Drug: irinotecan|Drug: levo- leucovorin|Drug: sunitinib|Drug: 5 fluorouracil|Drug: irinotecan|Drug: levo- leucovorin|Drug: placebo","drug","Pfizer","Both","Adult|Senior",768,"June 2007","December 2009","Progression-free Survival (PFS)",-0.867624372,"-1",24120
"36","NCT00631371","Study Comparing Bevacizumab + Temsirolimus vs. Bevacizumab + Interferon-Alfa In Advanced Renal Cell Carcinoma Subjects","Renal Cell Carcinoma","cancer","Drug: Bevacizumab|Drug: Temsirolimus|Drug: Bevacizumab|Drug: Interferon-Alfa 9MU","drug","Pfizer","Both","Adult|Senior",791,"April 2008","March 2009","Progression-Free Survival (PFS): Independent-Assessment",-0.8416,"-1",24111
"37","NCT00093015","Trial to Reduce Cardiovascular Events With Aranesp® Therapy (TREAT)","Kidney Disease|Diabetes Mellitus|Anemia","cardiovascular","Drug: Placebo|Drug: darbepoetin alfa","drug","Amgen","Both","Adult|Senior",4038,"August 2004","January 2008","Time to All-cause Mortality or Cardiovascular (CV) Events Including Hospitalization Due to Acute Myocardial Ischemia， Congestive Heart Failure (CHF)， Myocardial Infarction (MI)， and Cerebrovascular Accident (CVA)",-0.82389363,"-1",24097
"38","NCT00761319","Phase III Clinical Trial of TRAVATAN Z in Ocular Surface Health","Open-angle Glaucoma|Ocular Hypertension","other","Drug: Travoprost ophthalmic solution 0.004% with SofZia® preservative system (TRAVATAN Z®)|Drug: Latanoprost ophthalmic solution 0.005% (XALATAN®)","drug","Alcon Research","Both","Adult|Senior",705,"October 2008","June 2008","Mean Change at Day 90 From Baseline (Day 0) in Ocular Surface Disease Index (OSDI) Score",-0.8176,"-1",24102
"39","NCT00332488","Efficacy and Safety of Prandial Inhalation of Technosphere/Insulin in Combination With Metformin or Technosphere/Insulin Alone Versus 2 Oral Anti-Diabetic Agents in","Diabetes Mellitus, Type 2","endocrine and metabolic","Drug: Technosphere Insulin|Drug: Metformin & Secretagogues|Drug: Technosphere Insulin & Metformin","drug","Mannkind Corporation","Both","Adult|Senior",547,"December 2004","June 2012","Difference in Change From Baseline for HbA1c Between TI+ Metformin and Metformin+Secretagogue",-0.806421247,"-1",24150
"40","NCT00324896","Treatment of Insomnia in Patients With Parkinson's Disease: A Multi-site, Placebo-controlled Study of Eszopiclone","Parkinson's Disease|Insomnia","mental health","Drug: eszopiclone|Other: placebo","drug","University of Medicine and Dentistry of New Jersey|Sunovion|Rutgers, The State University of New Jersey","Both","Adult|Senior",30,"May 2006","June 2008","TST",-0.708,"-1",24102
"41","NCT00337779","Clinical Trial Comparing Treatment of Relapsing-Remitting Multiple Sclerosis (RR-MS) With Two Doses of Glatiramer Acetate (GA).","Relapsing Remitting Multiple Sclerosis","mental health","Drug: Glatiramer Acetate (GA) 40 mg|Drug: glatiramer acetate 20 mg","drug","Teva Pharmaceutical Industries","Both","Adult",1155,"August 2006","May 2008","The Rate of Confirmed Relapses During the Double-blind Phase (12 Months).",-0.696844682,"-1",24101
"42","NCT00368108","Efficacy, Safety, and Tolerability of E2007 in Levodopa Treated Parkinson's Disease Patients With Motor Fluctuations","Parkinson's Disease","mental health","Drug: 2 mg perampanel|Drug: 4 mg perampanel|Drug: placebo comparator","drug","Eisai Inc.","Both","Adult|Senior",752,"August 2006","October 2008","Mean Change From Baseline in Total Daily OFF Time (Hours) to Week 20 (Including Last Observation Carried Forward [LOCF] Data)",-0.691,"-1",24106
"43","NCT00486759","A Study of Bevacizumab (Avastin) in Combination With Rituximab (MabThera) and CHOP (Cyclophosphamide, Hydroxydaunorubicin [Doxorubicin], Oncovin [Vincristine], Predn","B-cell Lymphoma","cancer","Drug: Bevacizumab|Drug: Rituximab|Drug: CHOP|Drug: Placebo","drug","Hoffmann-La Roche|Genentech, Inc.","Both","Adult|Senior",787,"July 2007","January 2009","Progression-free Survival (PFS)",-0.690308824,"-1",24109
"44","NCT00734071","An Efficacy and Safety Study of Vortioxetine (Lu AA21004) in Treating Generalized Anxiety Disorder","Generalized Anxiety Disorder","mental health","Drug: Vortioxetine|Drug: Placebo","drug","Takeda|H. Lundbeck A/S","Both","Adult|Senior",304,"June 2008","October 2008","Change From Baseline in the Hamilton Anxiety Scale (HAM-A) Total Score at Week 8",-0.6464,"-1",24106
"45","NCT01011816","Treatment of Symptomatic Lumbar Internal Disc Disruption (IDD) With the Biostat® System","Back Pain|Chronic Low Back Pain|Internal Disc Disruption|Degenerative Disc Disease","other","Biological: BIOSTAT BIOLOGX|Drug: Saline","biolog","Spinal Restoration, Inc.","Both","Adult|Senior",220,"March 2010","January 2009","Subject Composite Success",-0.643345405,"-1",24109
"46","NCT00373334","Safety and Efficacy Study of Axid Use in Infants Suffering From Gastroesophageal Reflux Disease (GERD)","Gastroesophageal Reflux Disease|GERD|Heartburn","other","Drug: nizatidine (axid)|Drug: nizatidine (axid)|Drug: placebo","drug","Braintree Laboratories","Both","Child",138,"August 2006","April 2008","Infant Gastroesophageal Reflux Questionnaire Revised (I-GERQ-R) Success",-0.631061979,"-1",24100
"47","NCT00762411","Effects of LY450139, on the Progression of Alzheimer's Disease as Compared With Placebo","Alzheimer's Disease","mental health","Drug: LY450139|Drug: Placebo","drug","Eli Lilly and Company","Both","Adult|Senior",1111,"September 2008","December 2008","Change From Baseline in Alzheimer's Disease Assessment Scale- Cognitive Subscale (ADAS-Cog11) at 76 Weeks",-0.5828,"-1",24108
"48","NCT00396097","Individualized, Target-Driven Treatment Of Children With Idiopathic Short Stature","Idiopathic Short Stature","endocrine and metabolic","Drug: Genotropin|Drug: Genotropin","drug","Pfizer","Both","Child",316,"December 2006","July 2009","Absolute On-target Difference (AOTD) at 24 Months",-0.558943911,"-1",24115
"49","NCT00305162","A Clinical Trial to Demonstrate the Efficacy of Cangrelor","Myocardial Infarction (MI)|Acute Coronary Syndromes (ACS)","cardiovascular","Drug: Cangrelor (P2Y12 inhibitor)|Drug: clopidogrel (oral P2Y12 inhibitor)|Drug: Placebo bolus & placebo infusion|Drug: Placebo capsules - end of infusion|Drug: Placebo capsules - as soon as possible after randomization","drug","The Medicines Company","Both","Adult|Senior",8882,"April 2006","October 2008","Incidence of All-cause Mortality， Myocardial Infarction (MI)， and Ischemia-driven Revascularization (IDR)",-0.53883603,"-1",24106
"50","NCT00225017","Switch to Atazanavir and Brachial Artery Reactivity (SABAR) Study","HIV Infection|Hyperlipidemia","respiratory","Drug: Atazanavir|Drug: current antiretroviral regimen","drug","Northwestern University|Bristol-Myers Squibb","Both","Adult|Senior",50,"June 2005","March 2010","Percentage Change in Brachial Artery Flow Mediated (FMD) Vasodilation Between Arms From Baseline to Week 24",-0.522963002,"-1",24123
"51","NCT00320489","Olanzapine Pamoate Depot Versus Oral Olanzapine on Treatment Outcomes in Outpatients With Schizophrenia","Schizophrenia","mental health","Drug: olanzapine|Drug: olanzapine pamoate depot","drug","Eli Lilly and Company","Both","Adult",524,"April 2006","October 2008","Median Time to Discontinuation for Any Reason (Excluding Sponsor Decision)",-0.507220661,"-1",24106
"52","NCT00069784","The ORIGIN Trial (Outcome Reduction With Initial Glargine Intervention)","Diabetes Mellitus, Non-Insulin-Dependent","cardiovascular","Drug: insulin glargine (HOE901)|Drug: omega-3 polyunsaturated fatty acids (PUFA)|Drug: placebo|Device: reusable pen device for insulin injection","device","Sanofi|Population Health Research Institute","Both","Adult|Senior",12537,"August 2003","August 2009","Composite of the First Occurrence of Cardiovascular (CV) Death， Nonfatal Myocardial Infarction (MI) or Nonfatal Stroke",-0.485530617,"-1",24116
"53","NCT01413958","Effects of Phenylephrine Extended-Release Tablets on Allergy-Related Nasal Congestion (P08498 AM1)","Seasonal Allergic Rhinitis","other","Drug: Phenylephrine|Drug: Placebo|Drug: Loratadine","drug","Merck Sharp & Dohme Corp.","Both","Adult|Senior",575,"August 2011","April 2008","Mean Change From Baseline in Daily Reflective Nasal Congestion Score",-0.42,"-1",24100
"54","NCT01049217","Pregabalin Versus Placebo In The Treatment Of Neuropathic Pain Associated With HIV Neuropathy","Neuropathy","mental health","Drug: pregabalin|Drug: placebo","drug","Pfizer","Both","Adult|Senior",377,"April 2010","June 2008","Change From Baseline in Mean Pain Score at Endpoint (up to Week 16)",-0.373199457,"-1",24102
"55","NCT00394706","Resuscitation Outcomes Consortium (ROC) Prehospital Resuscitation Using an Impedance Valve","Heart Arrest","cardiovascular","Device: Impedance Threshold Device (ITD)|Device: Sham ITD|Other: Analyze early|Other: Analyze later","device","University of Washington|National Heart, Lung, and Blood Institute (NHLBI)|National Institute of Neurological Disorders and Stroke (NINDS)|Canadian In","Both","Adult|Senior",11738,"June 2007","July 2012","Survival to Hospital Discharge With Satisfactory Function (Modified Rankin Scale [MRS] of Less Than or Equal to 3).",-0.371856089,"-1",24151
"56","NCT00642694","Time to Remission of Depressive Symptoms With Combined SSRI and Ramelteon","Major Depressive Disorder|Insomnia","mental health","Drug: Escitalopram|Drug: Ramelteon|Other: Placebo","drug","University of Texas Southwestern Medical Center|Takeda Pharmaceuticals North America, Inc.","Both","Adult|Senior",29,"May 2007","August 2008","Percentage of Remitters on IDS-C30 at Week 12",-0.345,"-1",24104
"57","NCT00756938","Study of Losartan in Pediatric Patients With Hypertension (MK-0954-337)","Hypertension","cardiovascular","Drug: losartan potassium","drug","Merck Sharp & Dohme Corp.","Both","Child",101,"March 2009","January 2009","Mean Change From Baseline in Systolic Blood Pressure",-0.3147,"-1",24109
"58","NCT01499667","Disease Control and Safety in Patients With Relapsing Remitting Multiple Sclerosis (RRMS) Switching From Natalizumab to Fingolimod","Relapsing Remitting Multiple Sclerosis (RRMS)","mental health","Drug: Fingolimod|Drug: Placebo","drug","Novartis Pharmaceuticals|Novartis","Both","Adult",142,"September 2011","May 2008","Number of Active (New or Newly Enlarging) T2 Lesions From the Last Natalizumab Infusion (Baseline) Through 8 Weeks of Fingolimod Treatment",-0.301,"-1",24101
"59","NCT00300274","Efficacy and Safety of Everolimus in Recipients of Heart Transplants to Prevent Acute and Chronic Rejection","Graft Rejection","other","Drug: everolimus|Drug: mycophenolate mofetil|Drug: cyclosporine|Drug: corticosteroids","drug","Novartis Pharmaceuticals|Novartis","Both","Adult|Senior",721,"January 2006","December 2009","Percentage of Participants With Composite Efficacy Failure at 12 Months",-0.288,"-1",24120
"60","NCT00500682","A Study of AST-120 for Evaluating Prevention of Progression In Chronic Kidney Disease (EPPIC-1)","Chronic Kidney Disease","other","Drug: Placebo|Drug: AST-120","drug","Mitsubishi Tanabe Pharma Corporation|Kureha Corporation","Both","Adult|Senior",1020,"July 2007","May 2008","Composite of Dialysis Initiation， Kidney Transplantation， and Serum Creatinine Doubling",-0.279319034,"-1",24101
"61","NCT00709956","Iloprost Power 15 in Pulmonary Arterial Hypertension","Pulmonary Arterial Hypertension","cardiovascular","Drug: iloprost (5 µg)|Drug: placebo","drug","Actelion","Both","Adult|Senior",64,"July 2008","November 2009","6-minute-walk Distance (6MWD)",-0.2685,"-1",24119
"62","NCT00762515","Clinical Study to Evaluate the Treatment of Gingivitis of Two Toothpastes","Dental Plaque","other","Drug: Fluoride|Drug: Triclosan|Drug: Fluoride","drug","Colgate Palmolive","Both","Adult",44,"February 2008","March 2008","Control Established Plaque in Adults",-0.1986,"-1",24099
"63","NCT00890097","Geographic Atrophy Treatment Evaluation","Geographic Atrophy|Age-Related Macular Degeneration","other","Drug: AL-8309B Ophthalmic Solution|Drug: AL-8309B Vehicle","drug","Alcon Research","Both","Adult|Senior",772,"April 2009","March 2012","Mean Annualized Lesion Enlargement Rate From Baseline as Assessed With Fundus Autofluorescence Imaging",-0.198,"-1",24147
"64","NCT00689221","Cilengitide, Temozolomide, and Radiation Therapy in Treating Patients With Newly Diagnosed Glioblastoma and Methylated Gene Promoter Status","Glioblastoma","cancer","Drug: Cilengitide|Drug: Temozolomide|Radiation: Radiotherapy","drug","EMD Serono|European Organisation for Research and Treatment of Cancer - EORTC|Merck KGaA","Both","Adult|Senior",545,"September 2008","February 2009","Overall Survival (OS) Time",-0.1734,"-1",24110
"65","NCT00759187","Evaluate Clinical Research From Commerical Oral Care Products","Gingival Diseases","other","Drug: Fluoride|Drug: Triclosan/Fluoride|Drug: Chlorhexidine Gluconate","drug","Colgate Palmolive","Both","Adult",25,"January 2008","April 2008","Dental Plaque Index",-0.1622,"-1",24100
"66","NCT00624065","Research Study To Test Carvedilol CR + Lisinopril Versus Lisinopril + Placebo In Patients With High Blood Pressure","Hypertension","cardiovascular","Drug: carvedilol controlled release/lisinopril|Drug: lisinopril + placebo","drug","GlaxoSmithKline","Both","Adult|Senior",348,"March 2008","March 2008","Number of Participants With Mean Sitting Cuff Blood Pressure <140/90 mmHg at the End of 6 Weeks of Treatment",-0.1482,"-1",24099
"67","NCT00532155","A Study of Aflibercept Versus Placebo in Patients With Second-Line Docetaxel for Locally Advanced or Metastatic Non-Small-Cell Lung Cancer","Carcinoma|Non Small Cell Lung","cancer","Drug: Aflibercept (ziv-aflibercept, AVE0005, VEGF trap, ZALTRAP®)|Drug: Placebo|Drug: Docetaxel (Taxotere®)|Drug: Dexamethasone (pre- and post-medication for docetaxel)","drug","Sanofi|Regeneron Pharmaceuticals","Both","Adult|Senior",913,"September 2007","August 2008","Overall Survival (OS)",-0.127556447,"-1",24104
"68","NCT00777153","Cediranib in Combination With Lomustine Chemotherapy in Recurrent Glioblastoma","Recurrent Glioblastoma","cancer","Drug: Cediranib|Drug: Cediranib|Drug: Lomustine Chemotherapy|Drug: Placebo Cediranib","drug","AstraZeneca","Both","Adult|Senior",423,"October 2008","March 2009","Progression Free Survival (PFS)",-0.1257,"-1",24111
