"","nct_id","trial_title","Conditions","condition","Interventions","intervention_type","Sponsor_Collaborators","sponsor_class","fda.drug","fda.device","Gender","min.age","max.age","Enrollment","Start_Date","Completion_Date","title","p","p.desc","method","param.value","param.type","ci","ci.side","ci.l","ci.u"
"11","NCT00080470","An Implantable Microstimulator for the Chronic Treatment of Refractory Urinary Urge Incontinence","Urinary Incontinence",0,"bion","Device","Boston Scientific Corporation","Industry",0,0,"All","18 Years","N/A","148","June 2003","July 2008","Number of Leaks Per Day","0","0","0","0","0","0","0","0","0"
"12","NCT00082381","Effect of AC2993 Compared With Insulin Glargine in Patients With Type 2 Diabetes Also Using Combination Therapy With Sulfonylurea and Metformin","Diabetes Mellitus, Type 2",0,"Exenatide (AC2993)","Drug","AstraZeneca","Industry",0,0,"All","30 Years","75 Years","551","June 2003","July 2008","Change in Glycosylated Hemoglobin (HbA1c)","0.4602","0","ANCOVA","0.05","Mean Difference (Final Values)","95","0","-0.09","0.20"
"13","NCT00082407","Exenatide Compared With Twice-Daily Biphasic Insulin Aspart in Patients With Type 2 Diabetes Using Sulfonylurea and Metformin","Diabetes Mellitus, Type 2",0,"exenatide","Drug","AstraZeneca","Industry",0,0,"All","30 Years","75 Years","505","November 2003","July 2008","Change in Glcosylated Hemoglobin (HbA1c)","0.2534","0","ANCOVA","-0.10","Mean Difference (Final Values)","95","0","-0.28","0.08"
"14","NCT00082433","Epothilone (Ixabepilone) Plus Capecitabine Versus Capecitabine Alone in Patients With Advanced Breast Cancer","Cancer",0,"Ixabepilone + Capecitabine","Drug","R-Pharm","Industry",0,0,"Female","18 Years","N/A","1221","November 2003","March 2008","Overall Survival (OS)",".0005","0","Log Rank",".79","Hazard Ratio (HR)","95","0",".69",".90"
"15","NCT00083889","SU011248 Versus Interferon-Alfa As First-Line Systemic Therapy For Patients With Metastatic Renal Cell Carcinoma","Carcinoma, Renal Cell",0,"Interferon-alfa","Drug","Pfizer","Industry",0,0,"All","18 Years","N/A","750","August 2004","September 2008","Progression-Free Survival (PFS), Core Radiology Assessment","<0.0001","p-value from 2-sided, unstratified test.","Log Rank","0.5268","Hazard Ratio (HR)","95","2-Sided","0.4316","0.6430"
"16","NCT00086346","Study Evaluating of Calcineurin Inhibitor and Sirolimus (Rapamune) Treatment in Liver Transplant Recipients","Liver Transplantation",0,"Sirolimus (Rapamune)","Drug","Wyeth is now a wholly owned subsidiary of Pfizer","Industry",0,0,"All","13 Years","N/A","607","December 2002","July 2008","Change From Baseline Adjusted Mean in Glomerular Filtration Rate (GFR)","0.342","0","Rank ANCOVA","0","0","0","0","0","0"
"17","NCT00086580","Fludarabine (Fludara®) Plus Alemtuzumab (CAMPATH®, MabCampath®) vs Fludarabine Alone in B-Cell Chronic Lymphocytic Leukemia (B-CLL) Patients","B-Cell Chronic Lymphocytic Leukemia",0,"FluCAM [Fludara + Campath]","Biological","Genzyme, a Sanofi Company","Industry",0,0,"All","18 Years","N/A","335","July 2004","June 2010","Kaplan-Meier Estimates for Progression-free Survival (PFS) Based on Independent Response Review Panel (IRRP) Assessment","<0.001","0","Regression, Cox","0.610","Hazard Ratio (HR)","95","2-Sided","0.467","0.795"
"18","NCT00087022","Monoclonal Antibody Therapy (Rencarex®) in Treating Patients Who Have Undergone Surgery for Non-metastatic Kidney Cancer","Kidney Cancer",0,"girentuximab","Biological","Wilex","Industry",0,0,"All","18 Years","N/A","864","July 2004","October 2012","Disease-free survival","0","0","0","0","0","0","0","0","0"
"19","NCT00088010","Effects of Arzoxifene on Bone Fractures and Incidence of Breast Cancer","Osteoporosis, Postmenopausal",0,"Arzoxifene","Drug","Eli Lilly and Company","Industry",0,0,"Female","60 Years","85 Years","9369","June 2004","June 2009","Effects of arzoxifene on bone fractures and bone mass","0","0","0","0","0","0","0","0","0"
"20","NCT00088166","XERECEPT® (hCRF) for Patients Requiring Dexamethasone to Treat Edema Associated With Brain Tumors","Brain Edema",0,"hCRF","Drug","Celtic Pharma Development Services","Industry",0,0,"All","18 Years","N/A","200","May 2004","March 2008","The Proportion of Patients in Each Treatment Group Who Are Responders at Week 2 and Continue to be Responders at Week 5","0","0","0","0","0","0","0","0","0"
"21","NCT00088530","BBR 2778 for Relapsed, Aggressive Non-Hodgkin's Lymphoma (NHL)","Lymphoma, Non-Hodgkin",0,"pixantrone, cyclophosphamide, vincristine, rituximab, prednisone","Drug","CTI BioPharma","Industry",0,0,"All","18 Years","N/A","140","July 2004","February 2010","Complete Response (CR) and Complete Response Unconfirmed (CRu)","0","0","0","0","0","0","0","0","0"
"22","NCT00089791","A Study to Evaluate Denosumab in the Treatment of Postmenopausal Osteoporosis","Osteoporosis",0,"placebo","Drug","Amgen","Industry",0,0,"Female","60 Years","90 Years","7808","August 1, 2004","May 1, 2008","Number of Participants With New Vertebral Fractures","<0.0001","Logistic regression was used to generate the p-value","Mantel Haenszel","0.32","Risk Ratio (RR)","95","0","0.26","0.41"
"23","NCT00089804","Study of LJP 394 in Lupus Patients With History of Renal Disease","Lupus Erythematosus, Systemic",0,"abetimus sodium (LJP 394) and/or placebo solution","Drug","La Jolla Pharmaceutical Company","Industry",0,0,"All","12 Years","70 Years","943","October 2004","February 2009","To determine whether abetimus sodium is more effective than placebo in delaying the time to renal flare in SLE patients with a history of SLE renal disease. Weekly administration with a 52-week treatment duration.","0","0","0","0","0","0","0","0","0"
"24","NCT00089895","EARLY ACS: Early Glycoprotein IIb/IIIa Inhibition in Patients With Non-ST-segment Elevation Acute Coronary Syndrome (Study P03684AM2)(COMPLETED)","Myocardial Ischemia",0,"Eptifibatide (Integrilin)","Drug","Merck Sharp & Dohme Corp.","Industry",0,0,"All","18 Years","N/A","9406","November 1, 2004","November 1, 2008","Incidence of the Composite of Death, Myocardial Infarction (MI), Recurrent Ischemia Requiring Urgent Revascularization (RI-UR), and Thrombotic Bail-out.","0","0","0","0","0","0","0","0","0"
"25","NCT00090051","FCR Versus FC Alone in the Treatment of Chronic Lymphocytic Leukemia (CLL) in Relapsed Patients","Chronic Lymphocytic Leukemia",0,"Rituximab","Drug","Hoffmann-La Roche","Industry",0,0,"All","18 Years","N/A","552","July 2003","July 2008","Progression-free Survival (PFS) as Assessed by the Independent Review Committee (IRC)","0.0218","0","Log Rank","0.76","Hazard Ratio (HR)","95","2-Sided","0.60","0.96"
"26","NCT00090220","A Study to Evaluate the Safety, Immune Response, and Efficacy of Gardasil (V501, qHPV) in Mid-Adult Women (V501-019)","Healthy Adult Female Participants",0,"Quadrivalent Human Papillomavirus (Types 6, 11, 16, 18) Recombinant Vaccine","Biological","Merck Sharp & Dohme Corp.","Industry",0,0,"Female","24 Years","45 Years","3819","June 16, 2004","May 21, 2009","Incidence Rate of HPV 6/11/16/18 Related Persistent Infection, Genital Warts, VIN, VaIN, Vulvar Cancer, Vaginal Cancer, Cervical Dysplasia, Cervical AIS, and Cervical Cancer","0","0","0","88.7","Percent Relative Risk Reduction","95","0","78.1","94.8"
"27","NCT00090519","Reduction in the Occurrence of Center-Involved Diabetic Macular Edema","Diabetic Retinopathy",0,"ruboxistaurin","Drug","Chromaderm, Inc.","Industry",0,0,"All","18 Years","N/A","731","February 2004","April 2010","Mean Duration of Definite Center of Macula-involved Diabetic Macular Edema (DME)","0.969","0","ANOVA","-0.01","Mean Difference (Final Values)","95","2-Sided","-0.714","0.686"
"28","NCT00091442","A Study of Docetaxel Monotherapy or DOXIL and Docetaxel in Patients With Advanced Breast Cancer","Breast Cancer",0,"Docetaxel","Drug","Johnson & Johnson Pharmaceutical Research & Development, L.L.C.","Industry",0,0,"Female","18 Years","N/A","751","September 2004","December 2008","Time to Progression","0.5988","Not adjusted for multiple comparison.","Log Rank","1.06","Hazard Ratio (HR)","95","0","0.86","1.3"
"29","NCT00091676","Study of the BiovaxId Tumor Derived Idiotype Vaccine in Patients With Follicular Lymphoma","Non-Hodgkins Lymphoma",0,"FNHLId1","Biological","Biovest International","Industry",0,0,"All","18 Years","N/A","629","January 2000","December 2012","To demonstrate prolongation of the period of Disease Free Survival (significant prolongation of the period of complete remission) in idiotype vaccine treated patients","0","0","0","0","0","0","0","0","0"
"30","NCT00094458","Trial Comparing Infliximab and Infliximab and Azathioprine in the Treatment of Patients With Crohn's Disease na�ve to Both Immunomodulators and Biologic Therapy (Study of Biologic and Immunomodulator Naive Patients in Chrohn's Disease: SONIC","Crohn Disease",0,"infliximab infusion; AZA placebo caps","Biological","Centocor Ortho Biotech Services, L.L.C.","Industry",0,0,"All","21 Years","99 Years","508","March 2005","April 2008","Percentage of Participants With Corticosteriod-free Clinical Remission","<0.001","0","Cochran-Mantel-Haenszel","0","0","0","0","0","0"
"31","NCT00094653","MDX-010 Antibody, MDX-1379 Melanoma Vaccine, or MDX-010/MDX-1379 Combination Treatment for Patients With Unresectable or Metastatic Melanoma","Melanoma",0,"MDX-010 (anti-CTLA4) monoclonal antibody","Drug","Bristol-Myers Squibb","Industry",0,0,"All","18 Years","N/A","1783","September 2004","August 2009","Overall Survival (OS) (Time-to-Death) Difference Between MDX-010 in Combination With gp 100 Melanoma Peptide Vaccine Versus gp 100 Melanoma Peptide Vaccine Alone","0.0004","0","Stratified Log Rank","0.68","Hazard Ratio (HR)","95","2-Sided","0.55","0.85"
"32","NCT00095199","Docetaxel or Pemetrexed With or Without Cetuximab in Patients With Recurrent or Progressive Non-Small Cell Lung Cancer","Non Small Cell Lung Cancer",0,"Pemetrexed","Drug","Eli Lilly and Company","Industry",0,0,"All","18 Years","N/A","939","January 2005","July 2011","Progression Free Survival (PFS)","0.756","The 2-sided unstratified log-rank test was employed at the 5% significance level.","Log Rank","1.03","Hazard Ratio (HR)","95","2-Sided","0.87","1.21"
"33","NCT00097370","Open-Label Extension Of Intravenous Mepolizumab In Patients With Hypereosinophilic Syndrome","Hypereosinophilic Syndrome",0,"mepolizumab","Drug","GlaxoSmithKline","Industry",0,0,"All","18 Years","75 Years","78","September 2004","September 2010","Number of Participants With Any Adverse Event (AE) During the Treatment Phase","0","0","0","0","0","0","0","0","0"
"34","NCT00097500","Effects of Exenatide and Insulin Glargine in Subjects With Type 2 Diabetes","Type 2 Diabetes Mellitus",0,"exenatide","Drug","AstraZeneca","Industry",0,0,"All","30 Years","75 Years","69","September 2004","December 2009","Beta-cell Function After 52 Weeks of Therapy","0.0001","0","ANCOVA","0","0","0","0","0","0"
"35","NCT00097695","Subcutaneous Treatment With Icatibant for Acute Attacks of Hereditary Angioedema","Angioedema",0,"Icatibant","Drug","Shire","Industry",0,0,"All","18 Years","N/A","84","August 2004","March 2008","Time to Onset of Symptom Relief (TOSR)","0.142","0","Wilcoxon version of the log-rank test","0","0","0","0","0","0"
"36","NCT00097786","Long-term Study of Nateglinide+Valsartan to Prevent or Delay Type II Diabetes Mellitus and Cardiovascular Complications","Diabetes Mellitus, Type 2",0,"Valsartan 160 mg + nateglinide 60 mg","Drug","Novartis Pharmaceuticals","Industry",0,0,"All","50 Years","N/A","9306","January 2002","October 2009","Percentage of Patients Reaching the Endpoint: Progression to Diabetes - Valsartan Versus Non-valsartan","0","0","0","0","0","0","0","0","0"
"37","NCT00101686","Trial Of Irinotecan In Combination With Three Methods Of Administration Of Fluoropyrimidine.","Colorectal Neoplasms",0,"Modified Bolus 5-FU/LV with Irinotecan","Drug","Pfizer","Industry",0,0,"All","18 Years","N/A","547","February 2003","October 2008","Time to Progression (TTP) at Primary Completion: FOLFIRI and mIFL","0.0152","p-value corresponds to the log-rank test for comparing Kaplan-Meier survival curves.","Log Rank","1.433","Hazard Ratio (HR)","95","0","1.09","1.89"
"38","NCT00101933","SANTE - Stimulation of the Anterior Nucleus of the Thalamus for Epilepsy","Epilepsy",0,"Medtronic DBS Therapy for epilepsy","Device","MedtronicNeuro","Industry",0,0,"All","18 Years","65 Years","157","December 2003","June 2008","Primary Analysis: Change in Seizure Rate","0.0017","Since a treatment-by-visit interaction remains in the final model, the results were analyzed by visit. The results shown are for the last month in the blinded phase (month 3-4).","Generalized Estimating Equations","0","0","0","0","0","0"
"39","NCT00104416","Study Evaluating LAMICTAL Extended-Release Therapy Added To Current Seizure Treatments In Patients With Primary Generalized Tonic-Clonic Seizures (PGTC) Seizures","Epilepsy, Tonic-Clonic",0,"lamotrigine (LAMICTAL) extended-release","Drug","GlaxoSmithKline","Industry",0,0,"All","13 Years","N/A","153","December 2004","July 2008","Percent Change From Baseline in Weekly Primary Generalized Tonic-clonic (PGTC) Seizure Frequency During the Entire Double-Blind Treatment Phase","<0.0001","0","Cochran-Mantel-Haenszel","31.6","Median Difference (Final Values)","95","0","15.8","48.1"
"40","NCT00105027","The Standard Care vs. COrticosteroid for REtinal Vein Occlusion (SCORE) Study","Macular Edema, Cystoid",0,"Standard Care","Other","The EMMES Corporation","Industry",0,0,"All","18 Years","N/A","682","October 2004","February 2009","The Number of Study Participants Experiencing an Improvement by 15 or More Letters From Baseline in Best-corrected ETDRS Visual Acuity Score at the 12-month Visit","0","0","0","0","0","0","0","0","0"
"41","NCT00105183","EZ-2053 in the Prophylaxis of Acute Pulmonary Allograft Rejection","Chronic Obstructive Pulmonary",0,"Placebo","Biological","Neovii Biotech","Industry",0,0,"All","18 Years","N/A","223","January 2005","January 2010","Number of Participants With the Event Death, Graft Loss, Acute Rejection and/or Loss to Follow-up (Whichever Occurred First)","0","0","0","0","0","0","0","0","0"
"42","NCT00105196","A Study of Aripiprazole in Patients With Major Depressive Disorder","Major Depressive Disorder",0,"Aripiprazole+ ADT","Drug","Otsuka Pharmaceutical Development & Commercialization, Inc.","Industry",0,0,"All","18 Years","65 Years","349","March 2005","March 2008","Mean Change in the Montgomery Åsberg Depression Rating Scale (MADRS)","<0.001","0","t-test, 2 sided","-3.73","Mean Difference (Final Values)","95","0","-5.44","-2.02"
"43","NCT00105443","A Phase III Study of Sorafenib in Patients With Advanced Hepatocellular Carcinoma","Carcinoma, Hepatocellular",0,"Sorafenib (Nexavar, BAY43-9006)","Drug","Bayer","Industry",0,0,"All","18 Years","N/A","602","March 2005","November 2008","Overall Survival (OS)","0.00583","According to the pre-specified O’Brien-Fleming alpha spending function, the alpha value for this second interim analysis was 0.0073 (corresponding to a nominal value of 0.0077 after taking into account the first interim analysis).","Log Rank","0.6931","Hazard Ratio (HR)","95","0","0.5549","0.8658"
"44","NCT00106028","Safety and Efficacy of Risedronate in the Treatment of Osteogenesis Imperfecta in Children","Osteogenesis Imperfecta",0,"risedronate sodium (Actonel)","Drug","Warner Chilcott","Industry",0,0,"All","4 Years","15 Years","143","November 2004","April 2008","Percent Change From Baseline Lumbar Spine Bone Mineral Density (BMD) at Month 12, ITT Population","0.0625","0","ANCOVA","4.438","Mean Difference (Net)","95","2-Sided","-0.235","9.111"
"45","NCT00106691","Prostate Cancer Prevention Study for Men With High Grade PIN (Prostatic Intraepithelial Neoplasia)","Preneoplastic Conditions",0,"Toremifene 20 mg","Drug","GTx","Industry",0,0,"Male","30 Years","N/A","1590","January 2005","February 2010","To assess the efficacy of toremifene in the prevention of prostate cancer in men with high grade prostatic intraepithelial neoplasia (PIN)","0","0","0","0","0","0","0","0","0"
"46","NCT00108082","The CLEVER Study - Coreg And Left Ventricular Mass Regression","Hypertrophy, Left Ventricular",0,"carvedilol MR","Drug","GlaxoSmithKline","Industry",0,0,"All","18 Years","80 Years","287","January 2005","August 2008","Model-adjusted Mean Change From Baseline in Left Ventricular Mass Indexed (LVMI) by Body Surface Area as Measured by Magnetic Resonance Imaging (MRI) at Month 12","0.7651","0","ANCOVA","0.33","Mean Difference (Final Values)","95","0","-1.83","2.49"
"47","NCT00109538","Study of Lonafarnib Versus Placebo in Subjects With Either Myelodysplastic Syndrome (MDS) or Chronic Myelomonocytic Leukemia (CMML) (Study P02978AM3)(TERMINATED)","Myelodysplastic Syndromes",0,"Lonafarnib","Drug","Merck Sharp & Dohme Corp.","Industry",0,0,"All","18 Years","N/A","47","May 2005","August 2008","Proportion of subjects who achieved platelet transfusion independence for any 8-consecutive week period after randomization without worsening of RBC transfusion requirements or hemoglobin (untransfused) during the same 8-consecutive-week period.","0","0","0","0","0","0","0","0","0"
"48","NCT00110513","Recombinant Human Antithrombin (rhAT) in Patients With Hereditary Antithrombin Deficiency Undergoing Surgery or Delivery","Antithrombin III Deficiency",0,"Recombinant human antithrombin (rhAT)","Biological","rEVO Biologics","Industry",0,0,"All","18 Years","80 Years","18","April 2005","May 2008","Incidence of Thromboembolic Events Acute Deep Venous Thrombosis (DVT) and/or Thromboembolic Events Other Than Acute Deep Venous Thrombosis (DVT)","0","0","0","0","0","0","0","0","0"
"49","NCT00113555","Adjustable Continence Therapy (ACT) Device for the Treatment of Female Stress Urinary Incontinence","Urinary Incontinence",0,"ACT (Adjustable Continence Therapy)","Device","Uromedica","Industry",0,0,"Female","18 Years","N/A","221","December 2001","July 2008","Pad weight","0","0","0","0","0","0","0","0","0"
"50","NCT00113568","Safety Study of XP12B in Women With Menorrhagia","Menorrhagia",0,"Tranexamic acid tablets (XP12B)","Drug","Ferring Pharmaceuticals","Industry",0,0,"Female","18 Years","49 Years","784","June 2005","May 2009","Number of Subjects With at Least One Adverse Event During the Study","0","0","0","0","0","0","0","0","0"
"51","NCT00113607","An Efficacy and Safety Study for Yondelis (Trabectedin) in Patients With Advanced Relapsed Ovarian Cancer","Ovarian Cancer",0,"Trabectedin","Drug","Johnson & Johnson Pharmaceutical Research & Development, L.L.C.","Industry",0,0,"Female","18 Years","N/A","672","April 2005","November 2010","Progression-Free Survival (PFS): Independent Radiologist Review","0.0190","0","Log Rank","0.79","Hazard Ratio, log","95","2-Sided","0.65","0.96"
"52","NCT00114777","Study of Belatacept in Subjects Who Are Undergoing a Renal Transplant","Renal Transplantation",0,"CsA","Drug","Bristol-Myers Squibb","Industry",0,0,"All","18 Years","N/A","580","February 2005","May 2008","subject and graft survival","0","0","0","0","0","0","0","0","0"
"53","NCT00114972","SYNTAX Study: TAXUS Drug-Eluting Stent Versus Coronary Artery Bypass Surgery for the Treatment of Narrowed Arteries","Coronary Artery Disease",0,"Polymer-based Paclitaxel-Eluting TAXUS Express2-SR Stent","Device","Boston Scientific Corporation","Industry",0,0,"All","21 Years","N/A","1800","March 2005","April 2008","Primary Clinical Endpoint of 12-Month Binary MACCE.","0","0","0","0","0","0","0","0","0"
"54","NCT00116831","Rosiglitazone Versus a Sulfonylurea On Progression Of Atherosclerosis In Patients With Heart Disease And Type 2 Diabetes","Atherosclerosis",0,"Glipizide","Drug","GlaxoSmithKline","Industry",0,0,"All","30 Years","80 Years","672","January 2005","August 2008","Change From Baseline in Percent Atheroma Volume (PAV) to Month 18","0","0","0","0","0","0","0","0","0"
"55","NCT00117286","Extension Study Investigating the Long-Term Safety of Degarelix One-Month Depots in Patients With Prostate Cancer","Prostate Cancer",0,"Degarelix","Drug","Ferring Pharmaceuticals","Industry",0,0,"Male","18 Years","N/A","57","March 2005","September 2009","Participants With Markedly Abnormal Change in Vital Signs and Body Weight","0","0","0","0","0","0","0","0","0"
"56","NCT00119717","Safety and Efficacy of NeuroFlo Technology in Ischemic Stroke (SENTIS)","Cerebrovascular Accident",0,"NeuroFlo™ catheter","Device","CoAxia","Industry",0,0,"All","18 Years","N/A","515","June 2005","June 2010","The safety of the NeuroFlo device and procedure will be compared to medical management alone","0","0","0","0","0","0","0","0","0"
"57","NCT00120289","Niacin Plus Statin to Prevent Vascular Events","Cardiovascular Diseases",0,"Extended release niacin","Drug","Axio Research. LLC","Industry",0,0,"All","45 Years","N/A","3414","September 2005","September 2012","Composite End Point of CHD Death, Nonfatal MI, Ischemic Stroke, Hospitalization for Non-ST Segment Elevation Acute Coronary Syndrome (ACS), or Symptom-driven Coronary or Cerebral Revascularization","0.80","0","Regression, Cox","1.02","Hazard Ratio (HR)","95","2-Sided","0.87","1.21"
"58","NCT00120523","5-Year Safety Study of Pimecrolimus Cream 1% in Infants 3 - 12 Months of Age With Mild to Moderate Atopic Dermatitis","Atopic Dermatitis",0,"Pimecrolimus","Drug","MEDA Pharma GmbH & Co. KG","Industry",0,0,"All","3 Months","12 Months","2418","April 2004","October 2010","Safety Assessed by Adverse Events","0","0","0","0","0","0","0","0","0"
"59","NCT00121108","MEDI-524 (Motavizumab) for the Prevention of Respiratory Syncytial Virus (RSV) Disease Among Native American Indian Infants in the Southwestern United States","Healthy",0,"MEDI-524","Biological","MedImmune LLC","Industry",0,0,"All","1 Month","6 Months","2127","November 2004","December 2010","The incidence of RSV hospitalization from Study Day 0 through Study Day 150 of the 1st RSV season will be the primary endpoint.","0","0","0","0","0","0","0","0","0"
"60","NCT00122317","Extension Study of Eculizumab in Patients With Transfusion Dependent Paroxysmal Nocturnal Hemoglobinuria (PNH)","Paroxysmal Hemoglobinuria, Nocturnal",0,"eculizumab","Drug","Alexion Pharmaceuticals","Industry",0,0,"All","18 Years","N/A","187","May 2005","September 2008","Incidence of Treatment-emergent Adverse Events","0","0","0","0","0","0","0","0","0"
"61","NCT00122382","Remission and Joint Damage Progression in Early Rheumatoid Arthritis","Rheumatoid Arthritis",0,"Abatacept","Drug","Bristol-Myers Squibb","Industry",0,0,"All","18 Years","N/A","1052","July 2005","February 2008","Number of Participants in DAS 28 C-reactive Protein (CRP) Remission at Month 12","<0.001","p-value of <0.05: probability for testing the difference between ABA and PLA.","Chi-squared, Continuity-Corrected","15.1","Estimated Difference between ABA and PLA","95","2-Sided","6.0","24.2"
"62","NCT00125164","Prepubertal Children With Growth Failure Associated With Primary Insulin-Like Growth Factor-1 (IGF-1) Deficiency","Growth Disorders",0,"rhIGF-1 (mecasermin, Tercica, Inc.)","Drug","Ipsen","Industry",0,0,"All","3 Years","12 Years","137","March 2004","July 2008","Height Velocity During the First Year - Intent to Treat (ITT)Population","<0.0001","The two-sided p-values for the comparisons are adjusted for multiple comparisons using Dunnett’s method.","ANCOVA","1.79","LS mean difference","95","0","1.19","2.39"
"63","NCT00125190","Recombinant Human Insulin-Like Growth Factor (rhIGF-1) Treatment of Short Stature Associated With IGF-1 Deficiency","Insulin-Like Growth Factor-1 Deficiency",0,"rhIGF-1 (mecasermin) for a period of 86 weeks","Drug","Ipsen","Industry",0,0,"All","3 Years","N/A","45","July 2005","January 2009","Height Velocity Over the Study Period 0 - 34 Weeks [Intent to Treat Population]","0","0","0","0","0","0","0","0","0"
"64","NCT00126425","Meta-Iodobenzylguanidine Scintigraphy Imaging in Patients With Heart Failure and Control Subjects Without Cardiovascular Disease","Heart Failure, Congestive",0,"123I-mIBG (meta-iodobenzylguanidine)","Drug","GE Healthcare","Industry",0,0,"All","18 Years","N/A","587","July 2005","July 2008","Relationship Between the Occurrence of Adverse Cardiac Event and 123I-mIBG Uptake on Planar Scintigraphy Categorized as High or Low Heart to Mediastinum (H/M) Ratio","=0.004","At 0.025 level of significance.","Cox Proportional Hazards Model","0.44","Hazard Ratio (HR)","95","2-Sided","0.23","0.83"
